t	s	i
5.35	0.836533	0.0365329
5.36	0.836468	0.0364685
5.37	0.836404	0.0364041
5.38	0.83634	0.0363399
5.39	0.836276	0.0362758
5.4	0.836212	0.0362119
5.41	0.836148	0.036148
5.42	0.836084	0.0360843
5.43	0.836021	0.0360207
5.44	0.835957	0.0359573
5.45	0.835894	0.0358939
5.46	0.835831	0.0358307
5.47	0.835768	0.0357676
5.48	0.835705	0.0357046
5.49	0.835642	0.0356417
5.5	0.835579	0.035579
5.51	0.835516	0.0355164
5.52	0.835454	0.0354539
5.53	0.835391	0.0353915
5.54	0.835329	0.0353292
5.55	0.835267	0.0352671
5.56	0.835205	0.035205
5.57	0.835143	0.0351431
5.58	0.835081	0.0350813
5.59	0.83502	0.0350197
5.6	0.834958	0.0349581
5.61	0.834897	0.0348967
5.62	0.834835	0.0348354
5.63	0.834774	0.0347742
5.64	0.834713	0.0347131
5.65	0.834652	0.0346521
5.66	0.834591	0.0345913
5.67	0.834531	0.0345306
5.68	0.83447	0.0344699
5.69	0.834409	0.0344095
5.7	0.834349	0.0343491
5.71	0.834289	0.0342888
5.72	0.834229	0.0342286
5.73	0.834169	0.0341686
5.74	0.834109	0.0341087
5.75	0.834049	0.0340489
5.76	0.833989	0.0339892
5.77	0.83393	0.0339296
5.78	0.83387	0.0338701
5.79	0.833811	0.0338108
5.8	0.833752	0.0337515
5.81	0.833692	0.0336924
5.82	0.833633	0.0336334
5.83	0.833574	0.0335745
5.84	0.833516	0.0335157
5.85	0.833457	0.033457
5.86	0.833398	0.0333984
5.87	0.83334	0.03334
5.88	0.833282	0.0332816
5.89	0.833223	0.0332234
5.9	0.833165	0.0331653
5.91	0.833107	0.0331073
5.92	0.833049	0.0330494
5.93	0.832992	0.0329916
5.94	0.832934	0.0329339
5.95	0.832876	0.0328763
5.96	0.832819	0.0328188
5.97	0.832761	0.0327615
5.98	0.832704	0.0327042
5.99	0.832647	0.0326471
6	0.83259	0.0325901
6.01	0.832533	0.0325331
6.02	0.832476	0.0324763
6.03	0.83242	0.0324196
6.04	0.832363	0.032363
6.05	0.832307	0.0323065
6.06	0.83225	0.0322501
6.07	0.832194	0.0321939
6.08	0.832138	0.0321377
6.09	0.832082	0.0320816
6.1	0.832026	0.0320257
6.11	0.83197	0.0319698
6.12	0.831914	0.031914
6.13	0.831858	0.0318584
6.14	0.831803	0.0318029
6.15	0.831747	0.0317474
6.16	0.831692	0.0316921
6.17	0.831637	0.0316369
6.18	0.831582	0.0315817
6.19	0.831527	0.0315267
6.2	0.831472	0.0314718
6.21	0.831417	0.031417
6.22	0.831362	0.0313623
6.23	0.831308	0.0313077
6.24	0.831253	0.0312532
6.25	0.831199	0.0311988
6.26	0.831144	0.0311445
6.27	0.83109	0.0310903
6.28	0.831036	0.0310362
6.29	0.830982	0.0309822
6.3	0.830928	0.0309283
6.31	0.830875	0.0308745
6.32	0.830821	0.0308208
6.33	0.830767	0.0307672
6.34	0.830714	0.0307138
6.35	0.83066	0.0306604
6.36	0.830607	0.0306071
6.37	0.830554	0.0305539
6.38	0.830501	0.0305008
6.39	0.830448	0.0304478
6.4	0.830395	0.0303949
6.41	0.830342	0.0303421
6.42	0.830289	0.0302894
6.43	0.830237	0.0302369
6.44	0.830184	0.0301844
6.45	0.830132	0.030132
